br,cum_co2_g,trmt,,,cum_co2_c
1,1.868188918,peat,,,0.509506069
13,1.978844269,peat,,,0.539684801
14,0.128591309,peat,,,0.035070357
16,2.449813235,peat,,,0.668130882
6,5.921548888,2,,,1.614967879
8,8.240037796,2,,,2.247283035
9,8.05047956,2,,,2.195585335
11,3.297453139,2,,,0.899305402
2,5.244405662,3,,,1.430292453
5,8.790559505,3,,,2.39742532
12,10.02078529,3,,,2.732941442
15,11.16495298,3,,,3.044987177
3,1.827198418,4,,,0.498326841
4,12.07459194,4,,,3.293070529
7,12.18551384,4,,,3.323321956
10,5.344972733,4,,,1.457719836
17,0,R,,,
