trmt,cum_co2_c,initial_c,final_c,c_loss,,,,,,initial_c_perc,initial_dm,final_c_perc,final_dm,
1,0.509506069,26.16362963,25.06016,0.745545,,,,,,44.71,58.51851852,44.12,56.8,56.8
1,0.539684801,25.28483791,24.401757,0.88308091,,,,,,42.2,57.9,44.12,55.32,
1,0.035070357,24.4338,24.407184,0.026616,,,,,,43.33,58.35411471,45.03,54.19,54.19
1,0.668130882,25.509375,24.76383,1.10346963,,,,,,42.77,57.9,45.35,56.25,
2,1.614967879,31.45,28.47862875,2.39793675,,,,,,44.03,71.42857143,44.85,63.4975,
2,2.247283035,30.11409953,28.2703608,2.97137125,,,,,,44.59,67.53554502,44.88,62.991,
2,2.195585335,32.3867426,29.1013085,3.2854341,,,,,,44.71,72.43735763,45.97,63.305,
2,0.899305402,31.316868,28.91893125,1.84373873,,,,,,44.44,70.47,45.23,63.9375,
3,1.430292453,37.10834646,33.295248,0.72559082,,,,,,44.46,83.46456693,47.6,69.948,
3,2.39742532,38.08272,33.6913332,3.81309846,,,,,,46.67,81.6,47.48,70.959,
3,2.732941442,36.96969977,36.24410895,4.3913868,,,,,,45.22,81.7551963,47.39,76.4805,
3,3.044987177,37.38717,34.9749603,2.4122097,,,,,,45.45,82.26,47.49,73.647,
4,0.498326841,44.0325,41.27886105,1.66293,,,,,,46.35,95,48.81,84.5705,
4,3.293070529,45.81212042,41.4364008,4.37571962,,,,,,48.21,95.02617801,47.91,86.488,
4,3.323321956,43.46116822,40.8799152,2.58125302,,,,,,46.62,93.22429907,48.82,83.736,
4,1.457719836,44.429346,42.766416,2.75363895,,,,,,47.06,94.41,48.51,88.16,
